company_id,fiscal_year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,debt_to_equity,equity_ratio
ZYDUSLIFE,2017,102.0,6858,5207,2937,15104,5755,1543,435,7371,15104,51.049019607843135,0.4608050847457627
ZYDUSLIFE,2018,102.0,8642,5407,3632,17783,6483,1527,746,9028,17783,53.009803921568626,0.49170556149131195
ZYDUSLIFE,2019,102.0,10284,7899,4945,23231,12164,837,674,9556,23231,77.44117647058823,0.44707502905600277
ZYDUSLIFE,2020,102.0,10273,7986,5115,23477,12230,742,765,9740,23477,78.29411764705883,0.44192188098990504
ZYDUSLIFE,2021,102.0,12890,4608,6165,23765,12133,783,830,10019,23765,45.1764705882353,0.5466863033873343
ZYDUSLIFE,2022,102.0,16897,4221,6421,27642,12188,726,3288,11439,27642,41.38235294117647,0.614969973229144
ZYDUSLIFE,2023,101.0,17415,1195,6851,25562,11521,1201,1547,11294,25562,11.831683168316832,0.6852358970346608
ZYDUSLIFE,2024,101.0,19729,804,8201,28834,12368,2423,1220,12822,28834,7.96039603960396,0.6877297634736769
ZYDUSLIFE,2024,101.0,21724,190,9431,31446,14304,1051,2596,13495,31446,1.881188118811881,0.6940469376073268
SHREECEM,2013,35.0,3809,1288,1028,6160,1782,133,2203,2042,6160,36.8,0.624025974025974
SHREECEM,2014,35.0,4676,1200,1418,7329,2194,758,2244,2132,7329,34.285714285714285,0.6427889207258835
SHREECEM,2015,35.0,5241,917,1805,7998,3004,511,1662,2820,7998,26.2,0.6596649162290573
SHREECEM,2016,35.0,6811,881,1737,9463,3050,264,3030,3118,9463,25.17142857142857,0.7234492232907112
SHREECEM,2017,35.0,7663,1293,2175,11166,2599,710,4042,3814,11166,36.94285714285714,0.6894142933906502
SHREECEM,2018,35.0,8862,3403,2842,15142,3589,1427,5434,4691,15142,97.22857142857143,0.5875709945845992
SHREECEM,2019,35.0,9636,2803,3019,15493,6182,1129,2286,5896,15493,80.08571428571429,0.6242173884980313
